primary key,Category,Price Tier,Neighborhood,Opening Time,Closing Time,Average Rating,Good for kid
1,Korean,High,Upper West Side,11:12,14:18,3.7,true
2,Thai,High,Tribeca,11:34,21:58,2.4,true
3,Filipino,High,West Village,11:06,15:07,4.8,true
4,French,Low,Meatpacking District,11:06,19:42,1.6,true
5,American,High,Gramercy,8:31,19:11,1.1,true
6,Polish,High,Upper West Side,9:47,13:59,1.4,true
7,Greek,Low,Hollis,11:23,19:45,4.4,false
8,Greek,Medium,Tribeca,9:24,22:02,2.0,false
9,Chinese,High,Upper East Side,11:49,23:24,1.4,false
10,Polish,High,Chelsea,10:45,19:05,2.3,true
11,Argentine,Medium,Morningside Heights,9:53,21:30,4.1,true
12,Vietnamese,High,Bayside,10:40,18:57,3.5,true
13,Korean,Medium,Ridgewood,11:13,15:08,1.9,true
14,Thai,High,East Village,10:06,22:01,2.6,false
15,Greek,High,Rego Park,11:55,21:01,3.7,false
16,Russian,Low,South Ozone Park,11:33,23:20,5.0,false
17,Caribbean,Low,Forest Hills,11:57,17:58,3.9,true
18,Argentine,Medium,Ridgewood,8:38,16:26,2.7,false
19,Filipino,Low,Bayside,10:09,17:49,3.9,true
20,Ethiopian,Low,Forest Hills,10:07,17:56,4.8,false
21,Brazilian,High,Forest Hills,10:56,22:42,1.3,true
22,Caribbean,Medium,SoHo,8:51,13:03,1.7,false
23,Italian,High,Bayside,11:03,23:13,3.4,true
24,Lebanese,High,Hollis,8:52,18:17,2.4,true
25,Mediterranean,Medium,Little Italy,9:12,14:03,2.2,false
26,Indian,Low,Tribeca,11:23,14:38,2.3,false
27,French,High,Richmond Hill,9:59,19:56,1.5,false
28,Indian,Low,Murray Hill,8:36,22:14,3.1,false
29,Russian,Low,Chelsea,9:54,13:17,2.2,true
30,Japanese,Low,Kew Gardens,9:33,20:50,3.4,false
31,Polish,Medium,Rego Park,8:58,20:44,4.2,false
32,Polish,Low,Union Square,8:25,18:24,3.5,true
33,Mediterranean,Medium,Greenwich Village,9:23,13:16,3.4,true
34,Russian,Medium,Chinatown,10:40,12:37,4.4,true
35,Italian,Low,Long Island City,10:56,19:31,5.0,false
36,Spanish,High,Jamaica,8:35,15:31,1.3,false
37,Mediterranean,Medium,Inwood,10:53,20:25,4.0,false
38,Thai,Medium,Fresh Meadows,8:25,15:47,3.6,false
39,Greek,Medium,Kew Gardens,11:22,14:49,2.8,true
40,Vietnamese,Medium,Murray Hill,11:20,12:32,1.2,true
41,Filipino,Low,Hollis,10:10,23:40,2.3,true
42,Mexican,High,Fort George,10:58,13:21,2.1,false
43,Brazilian,High,Morningside Heights,8:52,13:29,4.9,true
44,Lebanese,Low,Corona,9:48,21:08,2.0,true
45,Mexican,Low,Douglaston,10:39,14:29,4.2,true
46,Indian,High,Woodhaven,11:19,23:09,1.3,true
47,Turkish,High,Ozone Park,11:07,12:19,3.7,false
48,Chinese,High,SoHo,8:16,22:11,2.0,true
49,Greek,High,Long Island City,10:44,18:09,4.0,false
50,Chinese,High,Meatpacking District,8:50,22:22,4.6,true
51,German,Medium,Richmond Hill,9:16,18:47,2.0,true
52,American,High,South Ozone Park,10:10,12:53,3.6,false
53,Lebanese,Low,Long Island City,8:18,23:10,2.7,true
54,Mexican,High,Upper West Side,8:15,13:16,4.6,false
55,Argentine,Low,Lower East Side,8:11,22:37,2.7,true
56,Greek,Low,South Ozone Park,10:22,20:01,3.2,false
57,Russian,Medium,Financial District,10:51,21:12,4.5,false
58,Argentine,Low,SoHo,8:06,22:59,1.3,false
59,Mediterranean,Low,Douglaston,11:38,20:32,1.9,false
60,Chinese,High,Nolita,10:06,20:42,4.4,false
61,Brazilian,Low,Little Italy,9:30,13:15,3.8,true
62,Brazilian,Medium,Meatpacking District,9:56,22:09,1.6,false
63,Indian,High,Jamaica,10:20,23:41,4.3,false
64,Japanese,Medium,Queens Village,10:58,16:59,2.6,false
65,Moroccan,High,Gramercy,10:54,12:15,2.5,false
66,Moroccan,High,South Ozone Park,10:16,23:20,4.3,true
67,Russian,Low,Inwood,10:43,15:19,4.1,false
68,American,High,Meatpacking District,8:15,14:41,3.1,true
69,Thai,High,Hell's Kitchen,10:33,17:49,2.7,false
70,Greek,High,Tribeca,8:17,23:34,1.2,true
71,Indian,Low,Jamaica,8:43,23:32,4.3,true
72,Korean,High,Queens Village,10:48,17:25,1.3,false
73,Spanish,Low,Meatpacking District,8:18,16:23,1.4,false
74,Mexican,Low,Kew Gardens,10:16,19:50,4.5,true
75,German,High,East Village,8:31,17:06,3.6,true
76,Spanish,Low,Murray Hill,11:07,22:50,4.4,false
77,Lebanese,Low,Middle Village,9:49,22:56,1.3,false
78,American,High,Nolita,10:31,15:44,2.0,true
79,German,Low,Bayside,8:34,15:23,3.3,false
80,Japanese,High,Douglaston,10:33,18:32,1.4,true
81,Italian,High,Hollis,11:33,14:48,1.2,false
82,Thai,Low,Sunnyside,10:00,23:48,3.2,false
83,Argentine,Medium,Sunnyside,10:59,16:29,4.4,false
84,Indian,Low,Upper West Side,9:33,18:41,1.7,false
85,Greek,High,Sunnyside,9:15,18:40,3.4,false
86,Moroccan,Medium,SoHo,9:55,15:59,3.6,false
87,Russian,Low,Astoria,8:01,16:51,4.3,true
88,Italian,Low,Harlem,8:51,12:48,1.2,true
